Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2012Q1,Personal insolvency agreement,Western Australia,Yes,12
2012Q1,Personal insolvency agreement,Tasmania,Yes,0
2012Q1,Personal insolvency agreement,Northern Territory,Yes,0
2012Q1,Personal insolvency agreement,Australian Capital Territory,Yes,0
2012Q1,Personal insolvency agreement,Other,Yes,0
2012Q2,Debtor's petition,New South Wales,Yes,566
2012Q2,Debtor's petition,Victoria,Yes,365
2012Q2,Debtor's petition,Queensland,Yes,621
2012Q2,Debtor's petition,South Australia,Yes,96
2012Q2,Debtor's petition,Western Australia,Yes,129
2012Q2,Debtor's petition,Tasmania,Yes,31
2012Q2,Debtor's petition,Northern Territory,Yes,4
2012Q2,Debtor's petition,Australian Capital Territory,Yes,7
2012Q2,Debtor's petition,Other,Yes,10
2012Q2,Sequestration order,New South Wales,Yes,141
2012Q2,Sequestration order,Victoria,Yes,81
2012Q2,Sequestration order,Queensland,Yes,90
2012Q2,Sequestration order,South Australia,Yes,13
2012Q2,Sequestration order,Western Australia,Yes,34
2012Q2,Sequestration order,Tasmania,Yes,13
2012Q2,Sequestration order,Northern Territory,Yes,0
2012Q2,Sequestration order,Australian Capital Territory,Yes,4
2012Q2,Sequestration order,Other,Yes,0
2012Q2,Total bankruptcies,New South Wales,Yes,707
2012Q2,Total bankruptcies,Victoria,Yes,446
2012Q2,Total bankruptcies,Queensland,Yes,711
2012Q2,Total bankruptcies,South Australia,Yes,109
2012Q2,Total bankruptcies,Western Australia,Yes,163
2012Q2,Total bankruptcies,Tasmania,Yes,44
2012Q2,Total bankruptcies,Northern Territory,Yes,4
2012Q2,Total bankruptcies,Australian Capital Territory,Yes,11
2012Q2,Total bankruptcies,Other,Yes,10
2012Q2,Deceased estate,New South Wales,Yes,0
2012Q2,Deceased estate,Victoria,Yes,0
2012Q2,Deceased estate,Queensland,Yes,0
2012Q2,Deceased estate,South Australia,Yes,0
2012Q2,Deceased estate,Western Australia,Yes,0
2012Q2,Deceased estate,Tasmania,Yes,0
2012Q2,Deceased estate,Northern Territory,Yes,0
2012Q2,Deceased estate,Australian Capital Territory,Yes,0
2012Q2,Deceased estate,Other,Yes,2
2012Q2,Debt agreement,New South Wales,Yes,48
2012Q2,Debt agreement,Victoria,Yes,23
2012Q2,Debt agreement,Queensland,Yes,43
2012Q2,Debt agreement,South Australia,Yes,3
2012Q2,Debt agreement,Western Australia,Yes,7
2012Q2,Debt agreement,Tasmania,Yes,7
2012Q2,Debt agreement,Northern Territory,Yes,0
2012Q2,Debt agreement,Australian Capital Territory,Yes,3
2012Q2,Debt agreement,Other,Yes,0
2012Q2,Personal insolvency agreement,New South Wales,Yes,13
2012Q2,Personal insolvency agreement,Victoria,Yes,20
2012Q2,Personal insolvency agreement,Queensland,Yes,8
2012Q2,Personal insolvency agreement,South Australia,Yes,2
2012Q2,Personal insolvency agreement,Western Australia,Yes,8
2012Q2,Personal insolvency agreement,Tasmania,Yes,1
2012Q2,Personal insolvency agreement,Northern Territory,Yes,0
2012Q2,Personal insolvency agreement,Australian Capital Territory,Yes,0
2012Q2,Personal insolvency agreement,Other,Yes,0
2012Q3,Debtor's petition,New South Wales,Yes,647
2012Q3,Debtor's petition,Victoria,Yes,393
2012Q3,Debtor's petition,Queensland,Yes,650
2012Q3,Debtor's petition,South Australia,Yes,128
2012Q3,Debtor's petition,Western Australia,Yes,177
2012Q3,Debtor's petition,Tasmania,Yes,39
2012Q3,Debtor's petition,Northern Territory,Yes,15
2012Q3,Debtor's petition,Australian Capital Territory,Yes,15
2012Q3,Debtor's petition,Other,Yes,12
2012Q3,Sequestration order,New South Wales,Yes,136
2012Q3,Sequestration order,Victoria,Yes,81
2012Q3,Sequestration order,Queensland,Yes,111
2012Q3,Sequestration order,South Australia,Yes,26
2012Q3,Sequestration order,Western Australia,Yes,34
2012Q3,Sequestration order,Tasmania,Yes,5
2012Q3,Sequestration order,Northern Territory,Yes,1
2012Q3,Sequestration order,Australian Capital Territory,Yes,2
2012Q3,Sequestration order,Other,Yes,5
2012Q3,Total bankruptcies,New South Wales,Yes,783
2012Q3,Total bankruptcies,Victoria,Yes,474
2012Q3,Total bankruptcies,Queensland,Yes,761
2012Q3,Total bankruptcies,South Australia,Yes,154
2012Q3,Total bankruptcies,Western Australia,Yes,211
2012Q3,Total bankruptcies,Tasmania,Yes,44
2012Q3,Total bankruptcies,Northern Territory,Yes,16
2012Q3,Total bankruptcies,Australian Capital Territory,Yes,17
2012Q3,Total bankruptcies,Other,Yes,17
2012Q3,Deceased estate,New South Wales,Yes,0
2012Q3,Deceased estate,Victoria,Yes,0
2012Q3,Deceased estate,Queensland,Yes,0
2012Q3,Deceased estate,South Australia,Yes,0
2012Q3,Deceased estate,Western Australia,Yes,0
2012Q3,Deceased estate,Tasmania,Yes,0
2012Q3,Deceased estate,Northern Territory,Yes,0
2012Q3,Deceased estate,Australian Capital Territory,Yes,0
2012Q3,Deceased estate,Other,Yes,3
2012Q3,Debt agreement,New South Wales,Yes,61
2012Q3,Debt agreement,Victoria,Yes,36
2012Q3,Debt agreement,Queensland,Yes,75
2012Q3,Debt agreement,South Australia,Yes,8
2012Q3,Debt agreement,Western Australia,Yes,4
2012Q3,Debt agreement,Tasmania,Yes,5
2012Q3,Debt agreement,Northern Territory,Yes,0
2012Q3,Debt agreement,Australian Capital Territory,Yes,2
2012Q3,Debt agreement,Other,Yes,0
2012Q3,Personal insolvency agreement,New South Wales,Yes,13
2012Q3,Personal insolvency agreement,Victoria,Yes,8
2012Q3,Personal insolvency agreement,Queensland,Yes,14
2012Q3,Personal insolvency agreement,South Australia,Yes,4
2012Q3,Personal insolvency agreement,Western Australia,Yes,9
2012Q3,Personal insolvency agreement,Tasmania,Yes,0
2012Q3,Personal insolvency agreement,Northern Territory,Yes,0
2012Q3,Personal insolvency agreement,Australian Capital Territory,Yes,0
2012Q3,Personal insolvency agreement,Other,Yes,0
2012Q4,Debtor's petition,New South Wales,Yes,615
2012Q4,Debtor's petition,Victoria,Yes,337
2012Q4,Debtor's petition,Queensland,Yes,632
2012Q4,Debtor's petition,South Australia,Yes,83
2012Q4,Debtor's petition,Western Australia,Yes,165
2012Q4,Debtor's petition,Tasmania,Yes,37
2012Q4,Debtor's petition,Northern Territory,Yes,6
2012Q4,Debtor's petition,Australian Capital Territory,Yes,15
2012Q4,Debtor's petition,Other,Yes,7
2012Q4,Sequestration order,New South Wales,Yes,115
2012Q4,Sequestration order,Victoria,Yes,70
2012Q4,Sequestration order,Queensland,Yes,88
2012Q4,Sequestration order,South Australia,Yes,9
2012Q4,Sequestration order,Western Australia,Yes,17
2012Q4,Sequestration order,Tasmania,Yes,4
2012Q4,Sequestration order,Northern Territory,Yes,4
2012Q4,Sequestration order,Australian Capital Territory,Yes,3
2012Q4,Sequestration order,Other,Yes,3
2012Q4,Total bankruptcies,New South Wales,Yes,730
2012Q4,Total bankruptcies,Victoria,Yes,407
2012Q4,Total bankruptcies,Queensland,Yes,720
2012Q4,Total bankruptcies,South Australia,Yes,92
2012Q4,Total bankruptcies,Western Australia,Yes,182
2012Q4,Total bankruptcies,Tasmania,Yes,41
2012Q4,Total bankruptcies,Northern Territory,Yes,10
2012Q4,Total bankruptcies,Australian Capital Territory,Yes,18
2012Q4,Total bankruptcies,Other,Yes,10
2012Q4,Deceased estate,New South Wales,Yes,0
2012Q4,Deceased estate,Victoria,Yes,0
2012Q4,Deceased estate,Queensland,Yes,0
2012Q4,Deceased estate,South Australia,Yes,0
2012Q4,Deceased estate,Western Australia,Yes,0
2012Q4,Deceased estate,Tasmania,Yes,0
2012Q4,Deceased estate,Northern Territory,Yes,0
2012Q4,Deceased estate,Australian Capital Territory,Yes,0
2012Q4,Deceased estate,Other,Yes,1
2012Q4,Debt agreement,New South Wales,Yes,55
2012Q4,Debt agreement,Victoria,Yes,47
2012Q4,Debt agreement,Queensland,Yes,71
2012Q4,Debt agreement,South Australia,Yes,7
2012Q4,Debt agreement,Western Australia,Yes,22
2012Q4,Debt agreement,Tasmania,Yes,11
2012Q4,Debt agreement,Northern Territory,Yes,2
2012Q4,Debt agreement,Australian Capital Territory,Yes,1
2012Q4,Debt agreement,Other,Yes,0
2012Q4,Personal insolvency agreement,New South Wales,Yes,15
2012Q4,Personal insolvency agreement,Victoria,Yes,13
2012Q4,Personal insolvency agreement,Queensland,Yes,9
2012Q4,Personal insolvency agreement,South Australia,Yes,3
2012Q4,Personal insolvency agreement,Western Australia,Yes,11
2012Q4,Personal insolvency agreement,Tasmania,Yes,1
2012Q4,Personal insolvency agreement,Northern Territory,Yes,1
2012Q4,Personal insolvency agreement,Australian Capital Territory,Yes,0
2012Q4,Personal insolvency agreement,Other,Yes,0
2013Q1,Debtor's petition,New South Wales,Yes,506
2013Q1,Debtor's petition,Victoria,Yes,293
2013Q1,Debtor's petition,Queensland,Yes,567
2013Q1,Debtor's petition,South Australia,Yes,90
2013Q1,Debtor's petition,Western Australia,Yes,120
2013Q1,Debtor's petition,Tasmania,Yes,37
2013Q1,Debtor's petition,Northern Territory,Yes,6
2013Q1,Debtor's petition,Australian Capital Territory,Yes,21
2013Q1,Debtor's petition,Other,Yes,6
2013Q1,Sequestration order,New South Wales,Yes,95
2013Q1,Sequestration order,Victoria,Yes,58
2013Q1,Sequestration order,Queensland,Yes,64
2013Q1,Sequestration order,South Australia,Yes,17
2013Q1,Sequestration order,Western Australia,Yes,24
2013Q1,Sequestration order,Tasmania,Yes,4
2013Q1,Sequestration order,Northern Territory,Yes,1
2013Q1,Sequestration order,Australian Capital Territory,Yes,2
2013Q1,Sequestration order,Other,Yes,3
2013Q1,Total bankruptcies,New South Wales,Yes,601
2013Q1,Total bankruptcies,Victoria,Yes,351
2013Q1,Total bankruptcies,Queensland,Yes,631
2013Q1,Total bankruptcies,South Australia,Yes,107
2013Q1,Total bankruptcies,Western Australia,Yes,144
2013Q1,Total bankruptcies,Tasmania,Yes,41
2013Q1,Total bankruptcies,Northern Territory,Yes,7
2013Q1,Total bankruptcies,Australian Capital Territory,Yes,23
2013Q1,Total bankruptcies,Other,Yes,9
2013Q1,Deceased estate,New South Wales,Yes,0
2013Q1,Deceased estate,Victoria,Yes,0
2013Q1,Deceased estate,Queensland,Yes,0
2013Q1,Deceased estate,South Australia,Yes,0
2013Q1,Deceased estate,Western Australia,Yes,0
2013Q1,Deceased estate,Tasmania,Yes,0
2013Q1,Deceased estate,Northern Territory,Yes,0
2013Q1,Deceased estate,Australian Capital Territory,Yes,0
2013Q1,Deceased estate,Other,Yes,1
2013Q1,Debt agreement,New South Wales,Yes,72
2013Q1,Debt agreement,Victoria,Yes,41
2013Q1,Debt agreement,Queensland,Yes,68
2013Q1,Debt agreement,South Australia,Yes,8
2013Q1,Debt agreement,Western Australia,Yes,17
2013Q1,Debt agreement,Tasmania,Yes,4
2013Q1,Debt agreement,Northern Territory,Yes,2
2013Q1,Debt agreement,Australian Capital Territory,Yes,3
2013Q1,Debt agreement,Other,Yes,0
2013Q1,Personal insolvency agreement,New South Wales,Yes,14
2013Q1,Personal insolvency agreement,Victoria,Yes,14
2013Q1,Personal insolvency agreement,Queensland,Yes,9
2013Q1,Personal insolvency agreement,South Australia,Yes,4
2013Q1,Personal insolvency agreement,Western Australia,Yes,9
2013Q1,Personal insolvency agreement,Tasmania,Yes,1
2013Q1,Personal insolvency agreement,Northern Territory,Yes,0
2013Q1,Personal insolvency agreement,Australian Capital Territory,Yes,0
2013Q1,Personal insolvency agreement,Other,Yes,1
2013Q2,Debtor's petition,New South Wales,Yes,585
2013Q2,Debtor's petition,Victoria,Yes,372
2013Q2,Debtor's petition,Queensland,Yes,580
2013Q2,Debtor's petition,South Australia,Yes,117
2013Q2,Debtor's petition,Western Australia,Yes,158
2013Q2,Debtor's petition,Tasmania,Yes,53
2013Q2,Debtor's petition,Northern Territory,Yes,9
2013Q2,Debtor's petition,Australian Capital Territory,Yes,20
2013Q2,Debtor's petition,Other,Yes,15
2013Q2,Sequestration order,New South Wales,Yes,105
2013Q2,Sequestration order,Victoria,Yes,74
2013Q2,Sequestration order,Queensland,Yes,89
2013Q2,Sequestration order,South Australia,Yes,21
2013Q2,Sequestration order,Western Australia,Yes,23
2013Q2,Sequestration order,Tasmania,Yes,0
2013Q2,Sequestration order,Northern Territory,Yes,1
2013Q2,Sequestration order,Australian Capital Territory,Yes,8
2013Q2,Sequestration order,Other,Yes,4
2013Q2,Total bankruptcies,New South Wales,Yes,690
2013Q2,Total bankruptcies,Victoria,Yes,446
2013Q2,Total bankruptcies,Queensland,Yes,669
2013Q2,Total bankruptcies,South Australia,Yes,138
2013Q2,Total bankruptcies,Western Australia,Yes,181
2013Q2,Total bankruptcies,Tasmania,Yes,53
2013Q2,Total bankruptcies,Northern Territory,Yes,10
2013Q2,Total bankruptcies,Australian Capital Territory,Yes,28
2013Q2,Total bankruptcies,Other,Yes,19
2013Q2,Deceased estate,New South Wales,Yes,0
2013Q2,Deceased estate,Victoria,Yes,0
2013Q2,Deceased estate,Queensland,Yes,0
2013Q2,Deceased estate,South Australia,Yes,0
2013Q2,Deceased estate,Western Australia,Yes,0
2013Q2,Deceased estate,Tasmania,Yes,0
2013Q2,Deceased estate,Northern Territory,Yes,0
2013Q2,Deceased estate,Australian Capital Territory,Yes,0
2013Q2,Deceased estate,Other,Yes,3
2013Q2,Debt agreement,New South Wales,Yes,70
2013Q2,Debt agreement,Victoria,Yes,51
2013Q2,Debt agreement,Queensland,Yes,55
2013Q2,Debt agreement,South Australia,Yes,9
2013Q2,Debt agreement,Western Australia,Yes,18
2013Q2,Debt agreement,Tasmania,Yes,6
2013Q2,Debt agreement,Northern Territory,Yes,2
2013Q2,Debt agreement,Australian Capital Territory,Yes,4
2013Q2,Debt agreement,Other,Yes,0
2013Q2,Personal insolvency agreement,New South Wales,Yes,5
2013Q2,Personal insolvency agreement,Victoria,Yes,26
2013Q2,Personal insolvency agreement,Queensland,Yes,8
2013Q2,Personal insolvency agreement,South Australia,Yes,0
2013Q2,Personal insolvency agreement,Western Australia,Yes,6
2013Q2,Personal insolvency agreement,Tasmania,Yes,0
2013Q2,Personal insolvency agreement,Northern Territory,Yes,0
2013Q2,Personal insolvency agreement,Australian Capital Territory,Yes,1
2013Q2,Personal insolvency agreement,Other,Yes,1
2013Q3,Debtor's petition,New South Wales,Yes,597
2013Q3,Debtor's petition,Victoria,Yes,360
2013Q3,Debtor's petition,Queensland,Yes,585
2013Q3,Debtor's petition,South Australia,Yes,94
2013Q3,Debtor's petition,Western Australia,Yes,160
2013Q3,Debtor's petition,Tasmania,Yes,37
2013Q3,Debtor's petition,Northern Territory,Yes,5
2013Q3,Debtor's petition,Australian Capital Territory,Yes,16
2013Q3,Debtor's petition,Other,Yes,5
2013Q3,Sequestration order,New South Wales,Yes,120
2013Q3,Sequestration order,Victoria,Yes,85
2013Q3,Sequestration order,Queensland,Yes,100
2013Q3,Sequestration order,South Australia,Yes,7
2013Q3,Sequestration order,Western Australia,Yes,43
2013Q3,Sequestration order,Tasmania,Yes,7
2013Q3,Sequestration order,Northern Territory,Yes,1
2013Q3,Sequestration order,Australian Capital Territory,Yes,1
2013Q3,Sequestration order,Other,Yes,3
2013Q3,Total bankruptcies,New South Wales,Yes,717
2013Q3,Total bankruptcies,Victoria,Yes,445
2013Q3,Total bankruptcies,Queensland,Yes,685
2013Q3,Total bankruptcies,South Australia,Yes,101
2013Q3,Total bankruptcies,Western Australia,Yes,203
2013Q3,Total bankruptcies,Tasmania,Yes,44
2013Q3,Total bankruptcies,Northern Territory,Yes,6
2013Q3,Total bankruptcies,Australian Capital Territory,Yes,17
2013Q3,Total bankruptcies,Other,Yes,8
2013Q3,Deceased estate,New South Wales,Yes,0
2013Q3,Deceased estate,Victoria,Yes,0
2013Q3,Deceased estate,Queensland,Yes,0
2013Q3,Deceased estate,South Australia,Yes,0
2013Q3,Deceased estate,Western Australia,Yes,0
2013Q3,Deceased estate,Tasmania,Yes,0
2013Q3,Deceased estate,Northern Territory,Yes,0
2013Q3,Deceased estate,Australian Capital Territory,Yes,0
2013Q3,Deceased estate,Other,Yes,5
2013Q3,Debt agreement,New South Wales,Yes,78
2013Q3,Debt agreement,Victoria,Yes,43
2013Q3,Debt agreement,Queensland,Yes,58
2013Q3,Debt agreement,South Australia,Yes,11
2013Q3,Debt agreement,Western Australia,Yes,23
2013Q3,Debt agreement,Tasmania,Yes,5
2013Q3,Debt agreement,Northern Territory,Yes,1
2013Q3,Debt agreement,Australian Capital Territory,Yes,3
2013Q3,Debt agreement,Other,Yes,0
2013Q3,Personal insolvency agreement,New South Wales,Yes,4
2013Q3,Personal insolvency agreement,Victoria,Yes,14
2013Q3,Personal insolvency agreement,Queensland,Yes,8
2013Q3,Personal insolvency agreement,South Australia,Yes,2
2013Q3,Personal insolvency agreement,Western Australia,Yes,8
2013Q3,Personal insolvency agreement,Tasmania,Yes,0
2013Q3,Personal insolvency agreement,Northern Territory,Yes,0
2013Q3,Personal insolvency agreement,Australian Capital Territory,Yes,0
2013Q3,Personal insolvency agreement,Other,Yes,0
2013Q4,Debtor's petition,New South Wales,Yes,517
2013Q4,Debtor's petition,Victoria,Yes,351
2013Q4,Debtor's petition,Queensland,Yes,549
2013Q4,Debtor's petition,South Australia,Yes,109
2013Q4,Debtor's petition,Western Australia,Yes,126
2013Q4,Debtor's petition,Tasmania,Yes,36
2013Q4,Debtor's petition,Northern Territory,Yes,8
2013Q4,Debtor's petition,Australian Capital Territory,Yes,14
2013Q4,Debtor's petition,Other,Yes,5
2013Q4,Sequestration order,New South Wales,Yes,139
2013Q4,Sequestration order,Victoria,Yes,95
2013Q4,Sequestration order,Queensland,Yes,95
2013Q4,Sequestration order,South Australia,Yes,14
2013Q4,Sequestration order,Western Australia,Yes,25
2013Q4,Sequestration order,Tasmania,Yes,13
2013Q4,Sequestration order,Northern Territory,Yes,1
2013Q4,Sequestration order,Australian Capital Territory,Yes,2
2013Q4,Sequestration order,Other,Yes,3
2013Q4,Total bankruptcies,New South Wales,Yes,656
2013Q4,Total bankruptcies,Victoria,Yes,446
2013Q4,Total bankruptcies,Queensland,Yes,644
2013Q4,Total bankruptcies,South Australia,Yes,123
2013Q4,Total bankruptcies,Western Australia,Yes,151
2013Q4,Total bankruptcies,Tasmania,Yes,49
2013Q4,Total bankruptcies,Northern Territory,Yes,9
2013Q4,Total bankruptcies,Australian Capital Territory,Yes,16
2013Q4,Total bankruptcies,Other,Yes,8
2013Q4,Deceased estate,New South Wales,Yes,0
2013Q4,Deceased estate,Victoria,Yes,0
2013Q4,Deceased estate,Queensland,Yes,0
2013Q4,Deceased estate,South Australia,Yes,0
2013Q4,Deceased estate,Western Australia,Yes,0
2013Q4,Deceased estate,Tasmania,Yes,0
2013Q4,Deceased estate,Northern Territory,Yes,0
2013Q4,Deceased estate,Australian Capital Territory,Yes,0
2013Q4,Deceased estate,Other,Yes,3
2013Q4,Debt agreement,New South Wales,Yes,76
2013Q4,Debt agreement,Victoria,Yes,57
2013Q4,Debt agreement,Queensland,Yes,80
2013Q4,Debt agreement,South Australia,Yes,14
2013Q4,Debt agreement,Western Australia,Yes,19
2013Q4,Debt agreement,Tasmania,Yes,11
2013Q4,Debt agreement,Northern Territory,Yes,6
2013Q4,Debt agreement,Australian Capital Territory,Yes,4
2013Q4,Debt agreement,Other,Yes,0
2013Q4,Personal insolvency agreement,New South Wales,Yes,8
2013Q4,Personal insolvency agreement,Victoria,Yes,18
2013Q4,Personal insolvency agreement,Queensland,Yes,16
2013Q4,Personal insolvency agreement,South Australia,Yes,1
2013Q4,Personal insolvency agreement,Western Australia,Yes,5
2013Q4,Personal insolvency agreement,Tasmania,Yes,0
2013Q4,Personal insolvency agreement,Northern Territory,Yes,0
2013Q4,Personal insolvency agreement,Australian Capital Territory,Yes,0
2013Q4,Personal insolvency agreement,Other,Yes,1
2014Q1,Debtor's petition,New South Wales,Yes,508
2014Q1,Debtor's petition,Victoria,Yes,343
2014Q1,Debtor's petition,Queensland,Yes,554
2014Q1,Debtor's petition,South Australia,Yes,102
2014Q1,Debtor's petition,Western Australia,Yes,134
2014Q1,Debtor's petition,Tasmania,Yes,31
2014Q1,Debtor's petition,Northern Territory,Yes,8
2014Q1,Debtor's petition,Australian Capital Territory,Yes,17
2014Q1,Debtor's petition,Other,Yes,11
2014Q1,Sequestration order,New South Wales,Yes,119
2014Q1,Sequestration order,Victoria,Yes,84
2014Q1,Sequestration order,Queensland,Yes,81
2014Q1,Sequestration order,South Australia,Yes,21
2014Q1,Sequestration order,Western Australia,Yes,40
2014Q1,Sequestration order,Tasmania,Yes,10
2014Q1,Sequestration order,Northern Territory,Yes,4
2014Q1,Sequestration order,Australian Capital Territory,Yes,6
2014Q1,Sequestration order,Other,Yes,4
2014Q1,Total bankruptcies,New South Wales,Yes,627
2014Q1,Total bankruptcies,Victoria,Yes,427
2014Q1,Total bankruptcies,Queensland,Yes,635
2014Q1,Total bankruptcies,South Australia,Yes,123
2014Q1,Total bankruptcies,Western Australia,Yes,174
2014Q1,Total bankruptcies,Tasmania,Yes,41
2014Q1,Total bankruptcies,Northern Territory,Yes,12
2014Q1,Total bankruptcies,Australian Capital Territory,Yes,23
2014Q1,Total bankruptcies,Other,Yes,15
2014Q1,Deceased estate,New South Wales,Yes,0
2014Q1,Deceased estate,Victoria,Yes,0
2014Q1,Deceased estate,Queensland,Yes,0
2014Q1,Deceased estate,South Australia,Yes,0
2014Q1,Deceased estate,Western Australia,Yes,0
2014Q1,Deceased estate,Tasmania,Yes,0
2014Q1,Deceased estate,Northern Territory,Yes,0
2014Q1,Deceased estate,Australian Capital Territory,Yes,0
2014Q1,Deceased estate,Other,Yes,1
2014Q1,Debt agreement,New South Wales,Yes,72
2014Q1,Debt agreement,Victoria,Yes,56
2014Q1,Debt agreement,Queensland,Yes,77
2014Q1,Debt agreement,South Australia,Yes,10
2014Q1,Debt agreement,Western Australia,Yes,32
2014Q1,Debt agreement,Tasmania,Yes,6
2014Q1,Debt agreement,Northern Territory,Yes,2
2014Q1,Debt agreement,Australian Capital Territory,Yes,2
2014Q1,Debt agreement,Other,Yes,0
2014Q1,Personal insolvency agreement,New South Wales,Yes,11
2014Q1,Personal insolvency agreement,Victoria,Yes,14
2014Q1,Personal insolvency agreement,Queensland,Yes,5
2014Q1,Personal insolvency agreement,South Australia,Yes,6
2014Q1,Personal insolvency agreement,Western Australia,Yes,3
2014Q1,Personal insolvency agreement,Tasmania,Yes,0
2014Q1,Personal insolvency agreement,Northern Territory,Yes,0
2014Q1,Personal insolvency agreement,Australian Capital Territory,Yes,0
2014Q1,Personal insolvency agreement,Other,Yes,1
2014Q2,Debtor's petition,New South Wales,Yes,442
2014Q2,Debtor's petition,Victoria,Yes,271
2014Q2,Debtor's petition,Queensland,Yes,459
2014Q2,Debtor's petition,South Australia,Yes,88
2014Q2,Debtor's petition,Western Australia,Yes,111
2014Q2,Debtor's petition,Tasmania,Yes,29
2014Q2,Debtor's petition,Northern Territory,Yes,13
2014Q2,Debtor's petition,Australian Capital Territory,Yes,21
2014Q2,Debtor's petition,Other,Yes,9
2014Q2,Sequestration order,New South Wales,Yes,95
2014Q2,Sequestration order,Victoria,Yes,90
2014Q2,Sequestration order,Queensland,Yes,83
2014Q2,Sequestration order,South Australia,Yes,21
2014Q2,Sequestration order,Western Australia,Yes,28
2014Q2,Sequestration order,Tasmania,Yes,7
2014Q2,Sequestration order,Northern Territory,Yes,1
2014Q2,Sequestration order,Australian Capital Territory,Yes,3
2014Q2,Sequestration order,Other,Yes,4
2014Q2,Total bankruptcies,New South Wales,Yes,537
2014Q2,Total bankruptcies,Victoria,Yes,361
2014Q2,Total bankruptcies,Queensland,Yes,542
2014Q2,Total bankruptcies,South Australia,Yes,109
2014Q2,Total bankruptcies,Western Australia,Yes,139
2014Q2,Total bankruptcies,Tasmania,Yes,36
2014Q2,Total bankruptcies,Northern Territory,Yes,14
2014Q2,Total bankruptcies,Australian Capital Territory,Yes,24
2014Q2,Total bankruptcies,Other,Yes,13
2014Q2,Deceased estate,New South Wales,Yes,0
2014Q2,Deceased estate,Victoria,Yes,0
2014Q2,Deceased estate,Queensland,Yes,0
2014Q2,Deceased estate,South Australia,Yes,0
2014Q2,Deceased estate,Western Australia,Yes,0
2014Q2,Deceased estate,Tasmania,Yes,0
2014Q2,Deceased estate,Northern Territory,Yes,0
2014Q2,Deceased estate,Australian Capital Territory,Yes,0
2014Q2,Deceased estate,Other,Yes,2
2014Q2,Debt agreement,New South Wales,Yes,85
2014Q2,Debt agreement,Victoria,Yes,49
2014Q2,Debt agreement,Queensland,Yes,67
2014Q2,Debt agreement,South Australia,Yes,5
2014Q2,Debt agreement,Western Australia,Yes,22
2014Q2,Debt agreement,Tasmania,Yes,4
2014Q2,Debt agreement,Northern Territory,Yes,0
2014Q2,Debt agreement,Australian Capital Territory,Yes,6
2014Q2,Debt agreement,Other,Yes,0
2014Q2,Personal insolvency agreement,New South Wales,Yes,9
2014Q2,Personal insolvency agreement,Victoria,Yes,12
2014Q2,Personal insolvency agreement,Queensland,Yes,9
2014Q2,Personal insolvency agreement,South Australia,Yes,2
2014Q2,Personal insolvency agreement,Western Australia,Yes,9
2014Q2,Personal insolvency agreement,Tasmania,Yes,0
2014Q2,Personal insolvency agreement,Northern Territory,Yes,0
2014Q2,Personal insolvency agreement,Australian Capital Territory,Yes,0
2014Q2,Personal insolvency agreement,Other,Yes,0
2014Q3,Debtor's petition,New South Wales,Yes,469
2014Q3,Debtor's petition,Victoria,Yes,307
2014Q3,Debtor's petition,Queensland,Yes,488
2014Q3,Debtor's petition,South Australia,Yes,83
2014Q3,Debtor's petition,Western Australia,Yes,129
2014Q3,Debtor's petition,Tasmania,Yes,38
2014Q3,Debtor's petition,Northern Territory,Yes,9
2014Q3,Debtor's petition,Australian Capital Territory,Yes,15
2014Q3,Debtor's petition,Other,Yes,5
2014Q3,Sequestration order,New South Wales,Yes,92
2014Q3,Sequestration order,Victoria,Yes,72
2014Q3,Sequestration order,Queensland,Yes,55
2014Q3,Sequestration order,South Australia,Yes,21
2014Q3,Sequestration order,Western Australia,Yes,22
2014Q3,Sequestration order,Tasmania,Yes,8
2014Q3,Sequestration order,Northern Territory,Yes,5
2014Q3,Sequestration order,Australian Capital Territory,Yes,2
2014Q3,Sequestration order,Other,Yes,5
2014Q3,Total bankruptcies,New South Wales,Yes,561
2014Q3,Total bankruptcies,Victoria,Yes,379
2014Q3,Total bankruptcies,Queensland,Yes,543
2014Q3,Total bankruptcies,South Australia,Yes,104
2014Q3,Total bankruptcies,Western Australia,Yes,151
2014Q3,Total bankruptcies,Tasmania,Yes,46
2014Q3,Total bankruptcies,Northern Territory,Yes,14
2014Q3,Total bankruptcies,Australian Capital Territory,Yes,17
2014Q3,Total bankruptcies,Other,Yes,10
2014Q3,Deceased estate,New South Wales,Yes,0
2014Q3,Deceased estate,Victoria,Yes,0
2014Q3,Deceased estate,Queensland,Yes,0
2014Q3,Deceased estate,South Australia,Yes,0
2014Q3,Deceased estate,Western Australia,Yes,0
2014Q3,Deceased estate,Tasmania,Yes,0
2014Q3,Deceased estate,Northern Territory,Yes,0
2014Q3,Deceased estate,Australian Capital Territory,Yes,0
2014Q3,Deceased estate,Other,Yes,2
2014Q3,Debt agreement,New South Wales,Yes,58
2014Q3,Debt agreement,Victoria,Yes,55
2014Q3,Debt agreement,Queensland,Yes,70
2014Q3,Debt agreement,South Australia,Yes,7
2014Q3,Debt agreement,Western Australia,Yes,29
2014Q3,Debt agreement,Tasmania,Yes,5
2014Q3,Debt agreement,Northern Territory,Yes,0
2014Q3,Debt agreement,Australian Capital Territory,Yes,6
2014Q3,Debt agreement,Other,Yes,0
