Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2008Q1,Sequestration order,Western Australia,Yes,19
2008Q1,Sequestration order,Tasmania,Yes,2
2008Q1,Sequestration order,Northern Territory,Yes,3
2008Q1,Sequestration order,Australian Capital Territory,Yes,1
2008Q1,Sequestration order,Other,Yes,1
2008Q1,Total bankruptcies,New South Wales,Yes,722
2008Q1,Total bankruptcies,Victoria,Yes,422
2008Q1,Total bankruptcies,Queensland,Yes,406
2008Q1,Total bankruptcies,South Australia,Yes,113
2008Q1,Total bankruptcies,Western Australia,Yes,130
2008Q1,Total bankruptcies,Tasmania,Yes,33
2008Q1,Total bankruptcies,Northern Territory,Yes,12
2008Q1,Total bankruptcies,Australian Capital Territory,Yes,16
2008Q1,Total bankruptcies,Other,Yes,7
2008Q1,Deceased estate,New South Wales,Yes,0
2008Q1,Deceased estate,Victoria,Yes,0
2008Q1,Deceased estate,Queensland,Yes,0
2008Q1,Deceased estate,South Australia,Yes,0
2008Q1,Deceased estate,Western Australia,Yes,0
2008Q1,Deceased estate,Tasmania,Yes,0
2008Q1,Deceased estate,Northern Territory,Yes,0
2008Q1,Deceased estate,Australian Capital Territory,Yes,0
2008Q1,Deceased estate,Other,Yes,0
2008Q1,Debt agreement,New South Wales,Yes,17
2008Q1,Debt agreement,Victoria,Yes,23
2008Q1,Debt agreement,Queensland,Yes,10
2008Q1,Debt agreement,South Australia,Yes,1
2008Q1,Debt agreement,Western Australia,Yes,3
2008Q1,Debt agreement,Tasmania,Yes,2
2008Q1,Debt agreement,Northern Territory,Yes,0
2008Q1,Debt agreement,Australian Capital Territory,Yes,1
2008Q1,Debt agreement,Other,Yes,0
2008Q1,Personal insolvency agreement,New South Wales,Yes,8
2008Q1,Personal insolvency agreement,Victoria,Yes,25
2008Q1,Personal insolvency agreement,Queensland,Yes,4
2008Q1,Personal insolvency agreement,South Australia,Yes,1
2008Q1,Personal insolvency agreement,Western Australia,Yes,6
2008Q1,Personal insolvency agreement,Tasmania,Yes,1
2008Q1,Personal insolvency agreement,Northern Territory,Yes,0
2008Q1,Personal insolvency agreement,Australian Capital Territory,Yes,0
2008Q1,Personal insolvency agreement,Other,Yes,0
2008Q2,Debtor's petition,New South Wales,Yes,823
2008Q2,Debtor's petition,Victoria,Yes,445
2008Q2,Debtor's petition,Queensland,Yes,410
2008Q2,Debtor's petition,South Australia,Yes,97
2008Q2,Debtor's petition,Western Australia,Yes,124
2008Q2,Debtor's petition,Tasmania,Yes,38
2008Q2,Debtor's petition,Northern Territory,Yes,11
2008Q2,Debtor's petition,Australian Capital Territory,Yes,13
2008Q2,Debtor's petition,Other,Yes,6
2008Q2,Sequestration order,New South Wales,Yes,162
2008Q2,Sequestration order,Victoria,Yes,109
2008Q2,Sequestration order,Queensland,Yes,60
2008Q2,Sequestration order,South Australia,Yes,23
2008Q2,Sequestration order,Western Australia,Yes,11
2008Q2,Sequestration order,Tasmania,Yes,3
2008Q2,Sequestration order,Northern Territory,Yes,1
2008Q2,Sequestration order,Australian Capital Territory,Yes,2
2008Q2,Sequestration order,Other,Yes,7
2008Q2,Total bankruptcies,New South Wales,Yes,985
2008Q2,Total bankruptcies,Victoria,Yes,554
2008Q2,Total bankruptcies,Queensland,Yes,470
2008Q2,Total bankruptcies,South Australia,Yes,120
2008Q2,Total bankruptcies,Western Australia,Yes,135
2008Q2,Total bankruptcies,Tasmania,Yes,41
2008Q2,Total bankruptcies,Northern Territory,Yes,12
2008Q2,Total bankruptcies,Australian Capital Territory,Yes,15
2008Q2,Total bankruptcies,Other,Yes,13
2008Q2,Deceased estate,New South Wales,Yes,0
2008Q2,Deceased estate,Victoria,Yes,0
2008Q2,Deceased estate,Queensland,Yes,0
2008Q2,Deceased estate,South Australia,Yes,0
2008Q2,Deceased estate,Western Australia,Yes,0
2008Q2,Deceased estate,Tasmania,Yes,0
2008Q2,Deceased estate,Northern Territory,Yes,0
2008Q2,Deceased estate,Australian Capital Territory,Yes,0
2008Q2,Deceased estate,Other,Yes,1
2008Q2,Debt agreement,New South Wales,Yes,25
2008Q2,Debt agreement,Victoria,Yes,16
2008Q2,Debt agreement,Queensland,Yes,14
2008Q2,Debt agreement,South Australia,Yes,0
2008Q2,Debt agreement,Western Australia,Yes,3
2008Q2,Debt agreement,Tasmania,Yes,1
2008Q2,Debt agreement,Northern Territory,Yes,0
2008Q2,Debt agreement,Australian Capital Territory,Yes,0
2008Q2,Debt agreement,Other,Yes,0
2008Q2,Personal insolvency agreement,New South Wales,Yes,14
2008Q2,Personal insolvency agreement,Victoria,Yes,38
2008Q2,Personal insolvency agreement,Queensland,Yes,13
2008Q2,Personal insolvency agreement,South Australia,Yes,3
2008Q2,Personal insolvency agreement,Western Australia,Yes,10
2008Q2,Personal insolvency agreement,Tasmania,Yes,1
