Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Sep-07,Deceased estate,Total,Total,6,,
Sep-07,Debt agreement,New South Wales,Yes,20,,
Sep-07,Debt agreement,Victoria,Yes,26,,
Sep-07,Debt agreement,Queensland,Yes,25,,
Sep-07,Debt agreement,South Australia,Yes,1,,
Sep-07,Debt agreement,Western Australia,Yes,6,,
Sep-07,Debt agreement,Tasmania,Yes,1,,
Sep-07,Debt agreement,Northern Territory,Yes,0,,
Sep-07,Debt agreement,Australian Capital Territory,Yes,1,,
Sep-07,Debt agreement,Other,Yes,0,,
Sep-07,Debt agreement,Total,Yes,80,,
Sep-07,Debt agreement,New South Wales,No,509,,
Sep-07,Debt agreement,Victoria,No,436,,
Sep-07,Debt agreement,Queensland,No,413,,
Sep-07,Debt agreement,South Australia,No,51,,
Sep-07,Debt agreement,Western Australia,No,72,,
Sep-07,Debt agreement,Tasmania,No,28,,
Sep-07,Debt agreement,Northern Territory,No,12,,
Sep-07,Debt agreement,Australian Capital Territory,No,20,,
Sep-07,Debt agreement,Other,No,2,,
Sep-07,Debt agreement,Total,No,1543,,
Sep-07,Debt agreement,New South Wales,Total,529,,
Sep-07,Debt agreement,Victoria,Total,462,,
Sep-07,Debt agreement,Queensland,Total,438,,
Sep-07,Debt agreement,South Australia,Total,52,,
Sep-07,Debt agreement,Western Australia,Total,78,,
Sep-07,Debt agreement,Tasmania,Total,29,,
Sep-07,Debt agreement,Northern Territory,Total,12,,
Sep-07,Debt agreement,Australian Capital Territory,Total,21,,
Sep-07,Debt agreement,Other,Total,2,,
Sep-07,Debt agreement,Total,Total,1623,,
Sep-07,Personal insolvency agreement,New South Wales,Yes,10,,
Sep-07,Personal insolvency agreement,Victoria,Yes,10,,
Sep-07,Personal insolvency agreement,Queensland,Yes,11,,
Sep-07,Personal insolvency agreement,South Australia,Yes,0,,
Sep-07,Personal insolvency agreement,Western Australia,Yes,8,,
Sep-07,Personal insolvency agreement,Tasmania,Yes,1,,
Sep-07,Personal insolvency agreement,Northern Territory,Yes,0,,
Sep-07,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Sep-07,Personal insolvency agreement,Other,Yes,0,,
Sep-07,Personal insolvency agreement,Total,Yes,40,,
Sep-07,Personal insolvency agreement,New South Wales,No,10,,
Sep-07,Personal insolvency agreement,Victoria,No,5,,
Sep-07,Personal insolvency agreement,Queensland,No,1,,
Sep-07,Personal insolvency agreement,South Australia,No,1,,
Sep-07,Personal insolvency agreement,Western Australia,No,1,,
Sep-07,Personal insolvency agreement,Tasmania,No,0,,
Sep-07,Personal insolvency agreement,Northern Territory,No,0,,
Sep-07,Personal insolvency agreement,Australian Capital Territory,No,0,,
Sep-07,Personal insolvency agreement,Other,No,0,,
Sep-07,Personal insolvency agreement,Total,No,18,,
Sep-07,Personal insolvency agreement,New South Wales,Total,20,,
Sep-07,Personal insolvency agreement,Victoria,Total,15,,
Sep-07,Personal insolvency agreement,Queensland,Total,12,,
Sep-07,Personal insolvency agreement,South Australia,Total,1,,
Sep-07,Personal insolvency agreement,Western Australia,Total,9,,
Sep-07,Personal insolvency agreement,Tasmania,Total,1,,
Sep-07,Personal insolvency agreement,Northern Territory,Total,0,,
Sep-07,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Sep-07,Personal insolvency agreement,Other,Total,0,,
Sep-07,Personal insolvency agreement,Total,Total,58,,
Sep-07,Total personal insolvencies,New South Wales,Yes,815,,
Sep-07,Total personal insolvencies,Victoria,Yes,538,,
Sep-07,Total personal insolvencies,Queensland,Yes,506,,
Sep-07,Total personal insolvencies,South Australia,Yes,110,,
Sep-07,Total personal insolvencies,Western Australia,Yes,115,,
Sep-07,Total personal insolvencies,Tasmania,Yes,46,,
Sep-07,Total personal insolvencies,Northern Territory,Yes,11,,
Sep-07,Total personal insolvencies,Australian Capital Territory,Yes,17,,
Sep-07,Total personal insolvencies,Other,Yes,16,,
Sep-07,Total personal insolvencies,Total,Yes,2174,,
Sep-07,Total personal insolvencies,New South Wales,No,2140,,
Sep-07,Total personal insolvencies,Victoria,No,1424,,
Sep-07,Total personal insolvencies,Queensland,No,1324,,
Sep-07,Total personal insolvencies,South Australia,No,451,,
Sep-07,Total personal insolvencies,Western Australia,No,287,,
Sep-07,Total personal insolvencies,Tasmania,No,191,,
Sep-07,Total personal insolvencies,Northern Territory,No,28,,
Sep-07,Total personal insolvencies,Australian Capital Territory,No,48,,
Sep-07,Total personal insolvencies,Other,No,22,,
Sep-07,Total personal insolvencies,Total,No,5915,,
Sep-07,Total personal insolvencies,New South Wales,Total,2955,,
