Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Sep-12,Sequestration order,Northern Territory,Total,1,,
Sep-12,Sequestration order,Australian Capital Territory,Total,4,,
Sep-12,Sequestration order,Other,Total,14,,
Sep-12,Sequestration order,Total,Total,586,,
Sep-12,Total bankruptcies,New South Wales,Yes,783,,
Sep-12,Total bankruptcies,Victoria,Yes,474,,
Sep-12,Total bankruptcies,Queensland,Yes,761,,
Sep-12,Total bankruptcies,South Australia,Yes,154,,
Sep-12,Total bankruptcies,Western Australia,Yes,211,,
Sep-12,Total bankruptcies,Tasmania,Yes,44,,
Sep-12,Total bankruptcies,Northern Territory,Yes,16,,
Sep-12,Total bankruptcies,Australian Capital Territory,Yes,17,,
Sep-12,Total bankruptcies,Other,Yes,17,,
Sep-12,Total bankruptcies,Total,Yes,2477,,
Sep-12,Total bankruptcies,New South Wales,No,1160,,
Sep-12,Total bankruptcies,Victoria,No,710,,
Sep-12,Total bankruptcies,Queensland,No,909,,
Sep-12,Total bankruptcies,South Australia,No,299,,
Sep-12,Total bankruptcies,Western Australia,No,220,,
Sep-12,Total bankruptcies,Tasmania,No,120,,
Sep-12,Total bankruptcies,Northern Territory,No,12,,
Sep-12,Total bankruptcies,Australian Capital Territory,No,30,,
Sep-12,Total bankruptcies,Other,No,18,,
Sep-12,Total bankruptcies,Total,No,3478,,
Sep-12,Total bankruptcies,New South Wales,Total,1943,,
Sep-12,Total bankruptcies,Victoria,Total,1184,,
Sep-12,Total bankruptcies,Queensland,Total,1670,,
Sep-12,Total bankruptcies,South Australia,Total,453,,
Sep-12,Total bankruptcies,Western Australia,Total,431,,
Sep-12,Total bankruptcies,Tasmania,Total,164,,
Sep-12,Total bankruptcies,Northern Territory,Total,28,,
Sep-12,Total bankruptcies,Australian Capital Territory,Total,47,,
Sep-12,Total bankruptcies,Other,Total,35,,
Sep-12,Total bankruptcies,Total,Total,5955,,
Sep-12,Deceased estate,New South Wales,Yes,0,,
Sep-12,Deceased estate,Victoria,Yes,0,,
Sep-12,Deceased estate,Queensland,Yes,0,,
Sep-12,Deceased estate,South Australia,Yes,0,,
Sep-12,Deceased estate,Western Australia,Yes,0,,
Sep-12,Deceased estate,Tasmania,Yes,0,,
Sep-12,Deceased estate,Northern Territory,Yes,0,,
Sep-12,Deceased estate,Australian Capital Territory,Yes,0,,
Sep-12,Deceased estate,Other,Yes,3,,
Sep-12,Deceased estate,Total,Yes,3,,
Sep-12,Deceased estate,New South Wales,No,0,,
Sep-12,Deceased estate,Victoria,No,0,,
Sep-12,Deceased estate,Queensland,No,0,,
Sep-12,Deceased estate,South Australia,No,0,,
Sep-12,Deceased estate,Western Australia,No,0,,
Sep-12,Deceased estate,Tasmania,No,0,,
Sep-12,Deceased estate,Northern Territory,No,0,,
Sep-12,Deceased estate,Australian Capital Territory,No,0,,
Sep-12,Deceased estate,Other,No,1,,
Sep-12,Deceased estate,Total,No,1,,
Sep-12,Deceased estate,New South Wales,Total,0,,
Sep-12,Deceased estate,Victoria,Total,0,,
Sep-12,Deceased estate,Queensland,Total,0,,
Sep-12,Deceased estate,South Australia,Total,0,,
Sep-12,Deceased estate,Western Australia,Total,0,,
Sep-12,Deceased estate,Tasmania,Total,0,,
Sep-12,Deceased estate,Northern Territory,Total,0,,
Sep-12,Deceased estate,Australian Capital Territory,Total,0,,
Sep-12,Deceased estate,Other,Total,4,,
Sep-12,Deceased estate,Total,Total,4,,
Sep-12,Debt agreement,New South Wales,Yes,61,,
Sep-12,Debt agreement,Victoria,Yes,36,,
Sep-12,Debt agreement,Queensland,Yes,75,,
Sep-12,Debt agreement,South Australia,Yes,8,,
Sep-12,Debt agreement,Western Australia,Yes,4,,
Sep-12,Debt agreement,Tasmania,Yes,5,,
Sep-12,Debt agreement,Northern Territory,Yes,0,,
Sep-12,Debt agreement,Australian Capital Territory,Yes,2,,
Sep-12,Debt agreement,Other,Yes,0,,
Sep-12,Debt agreement,Total,Yes,191,,
Sep-12,Debt agreement,New South Wales,No,739,,
Sep-12,Debt agreement,Victoria,No,442,,
Sep-12,Debt agreement,Queensland,No,621,,
Sep-12,Debt agreement,South Australia,No,104,,
Sep-12,Debt agreement,Western Australia,No,158,,
Sep-12,Debt agreement,Tasmania,No,96,,
Sep-12,Debt agreement,Northern Territory,No,24,,
Sep-12,Debt agreement,Australian Capital Territory,No,47,,
Sep-12,Debt agreement,Other,No,1,,
Sep-12,Debt agreement,Total,No,2232,,
Sep-12,Debt agreement,New South Wales,Total,800,,
Sep-12,Debt agreement,Victoria,Total,478,,
Sep-12,Debt agreement,Queensland,Total,696,,
Sep-12,Debt agreement,South Australia,Total,112,,
Sep-12,Debt agreement,Western Australia,Total,162,,
Sep-12,Debt agreement,Tasmania,Total,101,,
Sep-12,Debt agreement,Northern Territory,Total,24,,
Sep-12,Debt agreement,Australian Capital Territory,Total,49,,
Sep-12,Debt agreement,Other,Total,1,,
Sep-12,Debt agreement,Total,Total,2423,,
Sep-12,Personal insolvency agreement,New South Wales,Yes,13,,
Sep-12,Personal insolvency agreement,Victoria,Yes,8,,
Sep-12,Personal insolvency agreement,Queensland,Yes,14,,
Sep-12,Personal insolvency agreement,South Australia,Yes,4,,
Sep-12,Personal insolvency agreement,Western Australia,Yes,9,,
Sep-12,Personal insolvency agreement,Tasmania,Yes,0,,
Sep-12,Personal insolvency agreement,Northern Territory,Yes,0,,
Sep-12,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Sep-12,Personal insolvency agreement,Other,Yes,0,,
Sep-12,Personal insolvency agreement,Total,Yes,48,,
Sep-12,Personal insolvency agreement,New South Wales,No,13,,
Sep-12,Personal insolvency agreement,Victoria,No,11,,
Sep-12,Personal insolvency agreement,Queensland,No,1,,
Sep-12,Personal insolvency agreement,South Australia,No,4,,
Sep-12,Personal insolvency agreement,Western Australia,No,7,,
Sep-12,Personal insolvency agreement,Tasmania,No,2,,
Sep-12,Personal insolvency agreement,Northern Territory,No,1,,
Sep-12,Personal insolvency agreement,Australian Capital Territory,No,0,,
Sep-12,Personal insolvency agreement,Other,No,0,,
Sep-12,Personal insolvency agreement,Total,No,39,,
Sep-12,Personal insolvency agreement,New South Wales,Total,26,,
Sep-12,Personal insolvency agreement,Victoria,Total,19,,
Sep-12,Personal insolvency agreement,Queensland,Total,15,,
Sep-12,Personal insolvency agreement,South Australia,Total,8,,
Sep-12,Personal insolvency agreement,Western Australia,Total,16,,
Sep-12,Personal insolvency agreement,Tasmania,Total,2,,
Sep-12,Personal insolvency agreement,Northern Territory,Total,1,,
Sep-12,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Sep-12,Personal insolvency agreement,Other,Total,0,,
Sep-12,Personal insolvency agreement,Total,Total,87,,
Sep-12,Total personal insolvencies,New South Wales,Yes,857,,
Sep-12,Total personal insolvencies,Victoria,Yes,518,,
Sep-12,Total personal insolvencies,Queensland,Yes,850,,
Sep-12,Total personal insolvencies,South Australia,Yes,166,,
Sep-12,Total personal insolvencies,Western Australia,Yes,224,,
Sep-12,Total personal insolvencies,Tasmania,Yes,49,,
Sep-12,Total personal insolvencies,Northern Territory,Yes,16,,
Sep-12,Total personal insolvencies,Australian Capital Territory,Yes,19,,
Sep-12,Total personal insolvencies,Other,Yes,20,,
Sep-12,Total personal insolvencies,Total,Yes,2719,,
Sep-12,Total personal insolvencies,New South Wales,No,1912,,
Sep-12,Total personal insolvencies,Victoria,No,1163,,
Sep-12,Total personal insolvencies,Queensland,No,1531,,
Sep-12,Total personal insolvencies,South Australia,No,407,,
Sep-12,Total personal insolvencies,Western Australia,No,385,,
Sep-12,Total personal insolvencies,Tasmania,No,218,,
Sep-12,Total personal insolvencies,Northern Territory,No,37,,
Sep-12,Total personal insolvencies,Australian Capital Territory,No,77,,
Sep-12,Total personal insolvencies,Other,No,20,,
Sep-12,Total personal insolvencies,Total,No,5750,,
Sep-12,Total personal insolvencies,New South Wales,Total,2769,,
Sep-12,Total personal insolvencies,Victoria,Total,1681,,
Sep-12,Total personal insolvencies,Queensland,Total,2381,,
Sep-12,Total personal insolvencies,South Australia,Total,573,,
Sep-12,Total personal insolvencies,Western Australia,Total,609,,
Sep-12,Total personal insolvencies,Tasmania,Total,267,,
Sep-12,Total personal insolvencies,Northern Territory,Total,53,,
Sep-12,Total personal insolvencies,Australian Capital Territory,Total,96,,
Sep-12,Total personal insolvencies,Other,Total,40,,
Sep-12,Total personal insolvencies,Total,Total,8469,,
Dec-12,Debtor's petition,New South Wales,Yes,615,,
Dec-12,Debtor's petition,Victoria,Yes,337,,
Dec-12,Debtor's petition,Queensland,Yes,632,,
Dec-12,Debtor's petition,South Australia,Yes,83,,
Dec-12,Debtor's petition,Western Australia,Yes,165,,
Dec-12,Debtor's petition,Tasmania,Yes,37,,
Dec-12,Debtor's petition,Northern Territory,Yes,6,,
Dec-12,Debtor's petition,Australian Capital Territory,Yes,15,,
Dec-12,Debtor's petition,Other,Yes,7,,
Dec-12,Debtor's petition,Total,Yes,1897,,
Dec-12,Debtor's petition,New South Wales,No,1004,,
Dec-12,Debtor's petition,Victoria,No,606,,
Dec-12,Debtor's petition,Queensland,No,864,,
Dec-12,Debtor's petition,South Australia,No,264,,
Dec-12,Debtor's petition,Western Australia,No,203,,
Dec-12,Debtor's petition,Tasmania,No,99,,
Dec-12,Debtor's petition,Northern Territory,No,15,,
Dec-12,Debtor's petition,Australian Capital Territory,No,22,,
Dec-12,Debtor's petition,Other,No,9,,
Dec-12,Debtor's petition,Total,No,3086,,
Dec-12,Debtor's petition,New South Wales,Total,1619,,
Dec-12,Debtor's petition,Victoria,Total,943,,
Dec-12,Debtor's petition,Queensland,Total,1496,,
Dec-12,Debtor's petition,South Australia,Total,347,,
Dec-12,Debtor's petition,Western Australia,Total,368,,
Dec-12,Debtor's petition,Tasmania,Total,136,,
Dec-12,Debtor's petition,Northern Territory,Total,21,,
Dec-12,Debtor's petition,Australian Capital Territory,Total,37,,
Dec-12,Debtor's petition,Other,Total,16,,
Dec-12,Debtor's petition,Total,Total,4983,,
Dec-12,Sequestration order,New South Wales,Yes,115,,
Dec-12,Sequestration order,Victoria,Yes,70,,
Dec-12,Sequestration order,Queensland,Yes,88,,
Dec-12,Sequestration order,South Australia,Yes,9,,
Dec-12,Sequestration order,Western Australia,Yes,17,,
Dec-12,Sequestration order,Tasmania,Yes,4,,
Dec-12,Sequestration order,Northern Territory,Yes,4,,
Dec-12,Sequestration order,Australian Capital Territory,Yes,3,,
Dec-12,Sequestration order,Other,Yes,3,,
Dec-12,Sequestration order,Total,Yes,313,,
Dec-12,Sequestration order,New South Wales,No,59,,
Dec-12,Sequestration order,Victoria,No,50,,
Dec-12,Sequestration order,Queensland,No,31,,
Dec-12,Sequestration order,South Australia,No,4,,
Dec-12,Sequestration order,Western Australia,No,15,,
Dec-12,Sequestration order,Tasmania,No,1,,
Dec-12,Sequestration order,Northern Territory,No,2,,
Dec-12,Sequestration order,Australian Capital Territory,No,3,,
Dec-12,Sequestration order,Other,No,6,,
Dec-12,Sequestration order,Total,No,171,,
Dec-12,Sequestration order,New South Wales,Total,174,,
Dec-12,Sequestration order,Victoria,Total,120,,
Dec-12,Sequestration order,Queensland,Total,119,,
Dec-12,Sequestration order,South Australia,Total,13,,
Dec-12,Sequestration order,Western Australia,Total,32,,
Dec-12,Sequestration order,Tasmania,Total,5,,
Dec-12,Sequestration order,Northern Territory,Total,6,,
Dec-12,Sequestration order,Australian Capital Territory,Total,6,,
Dec-12,Sequestration order,Other,Total,9,,
Dec-12,Sequestration order,Total,Total,484,,
Dec-12,Total bankruptcies,New South Wales,Yes,730,,
Dec-12,Total bankruptcies,Victoria,Yes,407,,
Dec-12,Total bankruptcies,Queensland,Yes,720,,
Dec-12,Total bankruptcies,South Australia,Yes,92,,
Dec-12,Total bankruptcies,Western Australia,Yes,182,,
Dec-12,Total bankruptcies,Tasmania,Yes,41,,
Dec-12,Total bankruptcies,Northern Territory,Yes,10,,
Dec-12,Total bankruptcies,Australian Capital Territory,Yes,18,,
Dec-12,Total bankruptcies,Other,Yes,10,,
Dec-12,Total bankruptcies,Total,Yes,2210,,
Dec-12,Total bankruptcies,New South Wales,No,1063,,
Dec-12,Total bankruptcies,Victoria,No,656,,
Dec-12,Total bankruptcies,Queensland,No,895,,
Dec-12,Total bankruptcies,South Australia,No,268,,
Dec-12,Total bankruptcies,Western Australia,No,218,,
Dec-12,Total bankruptcies,Tasmania,No,100,,
Dec-12,Total bankruptcies,Northern Territory,No,17,,
Dec-12,Total bankruptcies,Australian Capital Territory,No,25,,
Dec-12,Total bankruptcies,Other,No,15,,
Dec-12,Total bankruptcies,Total,No,3257,,
Dec-12,Total bankruptcies,New South Wales,Total,1793,,
Dec-12,Total bankruptcies,Victoria,Total,1063,,
Dec-12,Total bankruptcies,Queensland,Total,1615,,
Dec-12,Total bankruptcies,South Australia,Total,360,,
Dec-12,Total bankruptcies,Western Australia,Total,400,,
Dec-12,Total bankruptcies,Tasmania,Total,141,,
Dec-12,Total bankruptcies,Northern Territory,Total,27,,
Dec-12,Total bankruptcies,Australian Capital Territory,Total,43,,
Dec-12,Total bankruptcies,Other,Total,25,,
Dec-12,Total bankruptcies,Total,Total,5467,,
Dec-12,Deceased estate,New South Wales,Yes,0,,
Dec-12,Deceased estate,Victoria,Yes,0,,
Dec-12,Deceased estate,Queensland,Yes,0,,
Dec-12,Deceased estate,South Australia,Yes,0,,
Dec-12,Deceased estate,Western Australia,Yes,0,,
Dec-12,Deceased estate,Tasmania,Yes,0,,
Dec-12,Deceased estate,Northern Territory,Yes,0,,
Dec-12,Deceased estate,Australian Capital Territory,Yes,0,,
Dec-12,Deceased estate,Other,Yes,1,,
Dec-12,Deceased estate,Total,Yes,1,,
Dec-12,Deceased estate,New South Wales,No,0,,
Dec-12,Deceased estate,Victoria,No,0,,
Dec-12,Deceased estate,Queensland,No,0,,
Dec-12,Deceased estate,South Australia,No,0,,
Dec-12,Deceased estate,Western Australia,No,0,,
Dec-12,Deceased estate,Tasmania,No,0,,
Dec-12,Deceased estate,Northern Territory,No,0,,
Dec-12,Deceased estate,Australian Capital Territory,No,0,,
Dec-12,Deceased estate,Other,No,4,,
Dec-12,Deceased estate,Total,No,4,,
Dec-12,Deceased estate,New South Wales,Total,0,,
Dec-12,Deceased estate,Victoria,Total,0,,
Dec-12,Deceased estate,Queensland,Total,0,,
Dec-12,Deceased estate,South Australia,Total,0,,
Dec-12,Deceased estate,Western Australia,Total,0,,
Dec-12,Deceased estate,Tasmania,Total,0,,
Dec-12,Deceased estate,Northern Territory,Total,0,,
Dec-12,Deceased estate,Australian Capital Territory,Total,0,,
Dec-12,Deceased estate,Other,Total,5,,
Dec-12,Deceased estate,Total,Total,5,,
Dec-12,Debt agreement,New South Wales,Yes,55,,
Dec-12,Debt agreement,Victoria,Yes,47,,
Dec-12,Debt agreement,Queensland,Yes,71,,
Dec-12,Debt agreement,South Australia,Yes,7,,
Dec-12,Debt agreement,Western Australia,Yes,22,,
Dec-12,Debt agreement,Tasmania,Yes,11,,
Dec-12,Debt agreement,Northern Territory,Yes,2,,
Dec-12,Debt agreement,Australian Capital Territory,Yes,1,,
Dec-12,Debt agreement,Other,Yes,0,,
Dec-12,Debt agreement,Total,Yes,216,,
Dec-12,Debt agreement,New South Wales,No,743,,
Dec-12,Debt agreement,Victoria,No,442,,
Dec-12,Debt agreement,Queensland,No,619,,
Dec-12,Debt agreement,South Australia,No,128,,
Dec-12,Debt agreement,Western Australia,No,211,,
Dec-12,Debt agreement,Tasmania,No,85,,
Dec-12,Debt agreement,Northern Territory,No,27,,
Dec-12,Debt agreement,Australian Capital Territory,No,35,,
Dec-12,Debt agreement,Other,No,4,,
Dec-12,Debt agreement,Total,No,2294,,
Dec-12,Debt agreement,New South Wales,Total,798,,
Dec-12,Debt agreement,Victoria,Total,489,,
Dec-12,Debt agreement,Queensland,Total,690,,
Dec-12,Debt agreement,South Australia,Total,135,,
Dec-12,Debt agreement,Western Australia,Total,233,,
Dec-12,Debt agreement,Tasmania,Total,96,,
Dec-12,Debt agreement,Northern Territory,Total,29,,
Dec-12,Debt agreement,Australian Capital Territory,Total,36,,
Dec-12,Debt agreement,Other,Total,4,,
Dec-12,Debt agreement,Total,Total,2510,,
Dec-12,Personal insolvency agreement,New South Wales,Yes,15,,
Dec-12,Personal insolvency agreement,Victoria,Yes,13,,
Dec-12,Personal insolvency agreement,Queensland,Yes,9,,
Dec-12,Personal insolvency agreement,South Australia,Yes,3,,
Dec-12,Personal insolvency agreement,Western Australia,Yes,11,,
Dec-12,Personal insolvency agreement,Tasmania,Yes,1,,
Dec-12,Personal insolvency agreement,Northern Territory,Yes,1,,
Dec-12,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Dec-12,Personal insolvency agreement,Other,Yes,0,,
Dec-12,Personal insolvency agreement,Total,Yes,53,,
Dec-12,Personal insolvency agreement,New South Wales,No,10,,
Dec-12,Personal insolvency agreement,Victoria,No,7,,
Dec-12,Personal insolvency agreement,Queensland,No,12,,
Dec-12,Personal insolvency agreement,South Australia,No,3,,
Dec-12,Personal insolvency agreement,Western Australia,No,9,,
Dec-12,Personal insolvency agreement,Tasmania,No,1,,
Dec-12,Personal insolvency agreement,Northern Territory,No,1,,
Dec-12,Personal insolvency agreement,Australian Capital Territory,No,0,,
Dec-12,Personal insolvency agreement,Other,No,0,,
Dec-12,Personal insolvency agreement,Total,No,43,,
Dec-12,Personal insolvency agreement,New South Wales,Total,25,,
Dec-12,Personal insolvency agreement,Victoria,Total,20,,
Dec-12,Personal insolvency agreement,Queensland,Total,21,,
Dec-12,Personal insolvency agreement,South Australia,Total,6,,
Dec-12,Personal insolvency agreement,Western Australia,Total,20,,
Dec-12,Personal insolvency agreement,Tasmania,Total,2,,
Dec-12,Personal insolvency agreement,Northern Territory,Total,2,,
Dec-12,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Dec-12,Personal insolvency agreement,Other,Total,0,,
Dec-12,Personal insolvency agreement,Total,Total,96,,
Dec-12,Total personal insolvencies,New South Wales,Yes,800,,
Dec-12,Total personal insolvencies,Victoria,Yes,467,,
Dec-12,Total personal insolvencies,Queensland,Yes,800,,
Dec-12,Total personal insolvencies,South Australia,Yes,102,,
Dec-12,Total personal insolvencies,Western Australia,Yes,215,,
Dec-12,Total personal insolvencies,Tasmania,Yes,53,,
Dec-12,Total personal insolvencies,Northern Territory,Yes,13,,
Dec-12,Total personal insolvencies,Australian Capital Territory,Yes,19,,
Dec-12,Total personal insolvencies,Other,Yes,11,,
Dec-12,Total personal insolvencies,Total,Yes,2480,,
Dec-12,Total personal insolvencies,New South Wales,No,1816,,
Dec-12,Total personal insolvencies,Victoria,No,1105,,
Dec-12,Total personal insolvencies,Queensland,No,1526,,
Dec-12,Total personal insolvencies,South Australia,No,399,,
Dec-12,Total personal insolvencies,Western Australia,No,438,,
Dec-12,Total personal insolvencies,Tasmania,No,186,,
Dec-12,Total personal insolvencies,Northern Territory,No,45,,
Dec-12,Total personal insolvencies,Australian Capital Territory,No,60,,
Dec-12,Total personal insolvencies,Other,No,23,,
Dec-12,Total personal insolvencies,Total,No,5598,,
Dec-12,Total personal insolvencies,New South Wales,Total,2616,,
Dec-12,Total personal insolvencies,Victoria,Total,1572,,
Dec-12,Total personal insolvencies,Queensland,Total,2326,,
Dec-12,Total personal insolvencies,South Australia,Total,501,,
Dec-12,Total personal insolvencies,Western Australia,Total,653,,
Dec-12,Total personal insolvencies,Tasmania,Total,239,,
Dec-12,Total personal insolvencies,Northern Territory,Total,58,,
Dec-12,Total personal insolvencies,Australian Capital Territory,Total,79,,
Dec-12,Total personal insolvencies,Other,Total,34,,
Dec-12,Total personal insolvencies,Total,Total,8078,,
Mar-13,Debtor's petition,New South Wales,Yes,506,,
Mar-13,Debtor's petition,Victoria,Yes,293,,
Mar-13,Debtor's petition,Queensland,Yes,567,,
Mar-13,Debtor's petition,South Australia,Yes,90,,
Mar-13,Debtor's petition,Western Australia,Yes,120,,
Mar-13,Debtor's petition,Tasmania,Yes,37,,
Mar-13,Debtor's petition,Northern Territory,Yes,6,,
Mar-13,Debtor's petition,Australian Capital Territory,Yes,21,,
Mar-13,Debtor's petition,Other,Yes,6,,
Mar-13,Debtor's petition,Total,Yes,1646,,
Mar-13,Debtor's petition,New South Wales,No,948,,
Mar-13,Debtor's petition,Victoria,No,574,,
Mar-13,Debtor's petition,Queensland,No,830,,
Mar-13,Debtor's petition,South Australia,No,228,,
Mar-13,Debtor's petition,Western Australia,No,178,,
Mar-13,Debtor's petition,Tasmania,No,104,,
Mar-13,Debtor's petition,Northern Territory,No,14,,
Mar-13,Debtor's petition,Australian Capital Territory,No,37,,
Mar-13,Debtor's petition,Other,No,3,,
Mar-13,Debtor's petition,Total,No,2916,,
Mar-13,Debtor's petition,New South Wales,Total,1454,,
Mar-13,Debtor's petition,Victoria,Total,867,,
Mar-13,Debtor's petition,Queensland,Total,1397,,
Mar-13,Debtor's petition,South Australia,Total,318,,
Mar-13,Debtor's petition,Western Australia,Total,298,,
Mar-13,Debtor's petition,Tasmania,Total,141,,
Mar-13,Debtor's petition,Northern Territory,Total,20,,
Mar-13,Debtor's petition,Australian Capital Territory,Total,58,,
Mar-13,Debtor's petition,Other,Total,9,,
Mar-13,Debtor's petition,Total,Total,4562,,
Mar-13,Sequestration order,New South Wales,Yes,95,,
Mar-13,Sequestration order,Victoria,Yes,58,,
Mar-13,Sequestration order,Queensland,Yes,64,,
Mar-13,Sequestration order,South Australia,Yes,17,,
Mar-13,Sequestration order,Western Australia,Yes,24,,
Mar-13,Sequestration order,Tasmania,Yes,4,,
Mar-13,Sequestration order,Northern Territory,Yes,1,,
Mar-13,Sequestration order,Australian Capital Territory,Yes,2,,
Mar-13,Sequestration order,Other,Yes,3,,
Mar-13,Sequestration order,Total,Yes,268,,
Mar-13,Sequestration order,New South Wales,No,54,,
Mar-13,Sequestration order,Victoria,No,30,,
Mar-13,Sequestration order,Queensland,No,35,,
Mar-13,Sequestration order,South Australia,No,8,,
Mar-13,Sequestration order,Western Australia,No,14,,
Mar-13,Sequestration order,Tasmania,No,2,,
Mar-13,Sequestration order,Northern Territory,No,2,,
Mar-13,Sequestration order,Australian Capital Territory,No,1,,
Mar-13,Sequestration order,Other,No,4,,
Mar-13,Sequestration order,Total,No,150,,
Mar-13,Sequestration order,New South Wales,Total,149,,
Mar-13,Sequestration order,Victoria,Total,88,,
Mar-13,Sequestration order,Queensland,Total,99,,
Mar-13,Sequestration order,South Australia,Total,25,,
Mar-13,Sequestration order,Western Australia,Total,38,,
Mar-13,Sequestration order,Tasmania,Total,6,,
Mar-13,Sequestration order,Northern Territory,Total,3,,
Mar-13,Sequestration order,Australian Capital Territory,Total,3,,
Mar-13,Sequestration order,Other,Total,7,,
Mar-13,Sequestration order,Total,Total,418,,
Mar-13,Total bankruptcies,New South Wales,Yes,601,,
Mar-13,Total bankruptcies,Victoria,Yes,351,,
Mar-13,Total bankruptcies,Queensland,Yes,631,,
Mar-13,Total bankruptcies,South Australia,Yes,107,,
Mar-13,Total bankruptcies,Western Australia,Yes,144,,
Mar-13,Total bankruptcies,Tasmania,Yes,41,,
Mar-13,Total bankruptcies,Northern Territory,Yes,7,,
Mar-13,Total bankruptcies,Australian Capital Territory,Yes,23,,
Mar-13,Total bankruptcies,Other,Yes,9,,
Mar-13,Total bankruptcies,Total,Yes,1914,,
Mar-13,Total bankruptcies,New South Wales,No,1002,,
Mar-13,Total bankruptcies,Victoria,No,604,,
Mar-13,Total bankruptcies,Queensland,No,865,,
Mar-13,Total bankruptcies,South Australia,No,236,,
Mar-13,Total bankruptcies,Western Australia,No,192,,
Mar-13,Total bankruptcies,Tasmania,No,106,,
Mar-13,Total bankruptcies,Northern Territory,No,16,,
Mar-13,Total bankruptcies,Australian Capital Territory,No,38,,
Mar-13,Total bankruptcies,Other,No,7,,
Mar-13,Total bankruptcies,Total,No,3066,,
Mar-13,Total bankruptcies,New South Wales,Total,1603,,
Mar-13,Total bankruptcies,Victoria,Total,955,,
Mar-13,Total bankruptcies,Queensland,Total,1496,,
Mar-13,Total bankruptcies,South Australia,Total,343,,
Mar-13,Total bankruptcies,Western Australia,Total,336,,
Mar-13,Total bankruptcies,Tasmania,Total,147,,
Mar-13,Total bankruptcies,Northern Territory,Total,23,,
Mar-13,Total bankruptcies,Australian Capital Territory,Total,61,,
Mar-13,Total bankruptcies,Other,Total,16,,
Mar-13,Total bankruptcies,Total,Total,4980,,
Mar-13,Deceased estate,New South Wales,Yes,0,,
Mar-13,Deceased estate,Victoria,Yes,0,,
Mar-13,Deceased estate,Queensland,Yes,0,,
Mar-13,Deceased estate,South Australia,Yes,0,,
Mar-13,Deceased estate,Western Australia,Yes,0,,
Mar-13,Deceased estate,Tasmania,Yes,0,,
Mar-13,Deceased estate,Northern Territory,Yes,0,,
Mar-13,Deceased estate,Australian Capital Territory,Yes,0,,
Mar-13,Deceased estate,Other,Yes,1,,
Mar-13,Deceased estate,Total,Yes,1,,
Mar-13,Deceased estate,New South Wales,No,0,,
Mar-13,Deceased estate,Victoria,No,0,,
Mar-13,Deceased estate,Queensland,No,0,,
Mar-13,Deceased estate,South Australia,No,0,,
Mar-13,Deceased estate,Western Australia,No,0,,
Mar-13,Deceased estate,Tasmania,No,0,,
Mar-13,Deceased estate,Northern Territory,No,0,,
Mar-13,Deceased estate,Australian Capital Territory,No,0,,
Mar-13,Deceased estate,Other,No,1,,
Mar-13,Deceased estate,Total,No,1,,
Mar-13,Deceased estate,New South Wales,Total,0,,
Mar-13,Deceased estate,Victoria,Total,0,,
Mar-13,Deceased estate,Queensland,Total,0,,
Mar-13,Deceased estate,South Australia,Total,0,,
Mar-13,Deceased estate,Western Australia,Total,0,,
Mar-13,Deceased estate,Tasmania,Total,0,,
Mar-13,Deceased estate,Northern Territory,Total,0,,
Mar-13,Deceased estate,Australian Capital Territory,Total,0,,
Mar-13,Deceased estate,Other,Total,2,,
Mar-13,Deceased estate,Total,Total,2,,
Mar-13,Debt agreement,New South Wales,Yes,72,,
Mar-13,Debt agreement,Victoria,Yes,41,,
Mar-13,Debt agreement,Queensland,Yes,68,,
Mar-13,Debt agreement,South Australia,Yes,8,,
Mar-13,Debt agreement,Western Australia,Yes,17,,
Mar-13,Debt agreement,Tasmania,Yes,4,,
Mar-13,Debt agreement,Northern Territory,Yes,2,,
Mar-13,Debt agreement,Australian Capital Territory,Yes,3,,
Mar-13,Debt agreement,Other,Yes,0,,
Mar-13,Debt agreement,Total,Yes,215,,
Mar-13,Debt agreement,New South Wales,No,780,,
Mar-13,Debt agreement,Victoria,No,382,,
Mar-13,Debt agreement,Queensland,No,597,,
Mar-13,Debt agreement,South Australia,No,111,,
Mar-13,Debt agreement,Western Australia,No,173,,
Mar-13,Debt agreement,Tasmania,No,57,,
Mar-13,Debt agreement,Northern Territory,No,24,,
Mar-13,Debt agreement,Australian Capital Territory,No,32,,
Mar-13,Debt agreement,Other,No,5,,
Mar-13,Debt agreement,Total,No,2161,,
Mar-13,Debt agreement,New South Wales,Total,852,,
Mar-13,Debt agreement,Victoria,Total,423,,
Mar-13,Debt agreement,Queensland,Total,665,,
Mar-13,Debt agreement,South Australia,Total,119,,
Mar-13,Debt agreement,Western Australia,Total,190,,
Mar-13,Debt agreement,Tasmania,Total,61,,
Mar-13,Debt agreement,Northern Territory,Total,26,,
Mar-13,Debt agreement,Australian Capital Territory,Total,35,,
Mar-13,Debt agreement,Other,Total,5,,
Mar-13,Debt agreement,Total,Total,2376,,
Mar-13,Personal insolvency agreement,New South Wales,Yes,14,,
Mar-13,Personal insolvency agreement,Victoria,Yes,14,,
